slug,name,type,scene,website,reachable,status,ical,jsonld_events,rss,ticketing,agenda_path,suggested_source,confidence,notes
bajesdorp-grond,Bajesdorp - GROND,galerie,underground,https://grond.community,yes,200,https://grond.community/events/?ical=1,5,https://grond.community/feed/,,,ical,high,
de-ateliers,De Ateliers,ruimte,underground,https://www.de-ateliers.nl,yes,200,https://www.de-ateliers.nl/agenda/?ical=1,0,https://www.de-ateliers.nl/feed/,,,ical,high,
filmhallen,FilmHallen,film,mainstream,https://filmhallen.nl,yes,200,,8,,,,jsonld,high,
kriterion,Kriterion,film,mainstream,https://kriterion.nl,yes,200,,136,,,,jsonld,high,
lofi,Lofi,club,alternatief,https://lofi.amsterdam,yes,200,,15,,eventix,,jsonld,high,
plantagedok,Plantagedok,ruimte,underground,https://plantagedok.nl,yes,200,https://plantagedok.nl/events/?ical=1,5,https://plantagedok.nl/feed/,,,ical,high,
ru-pare,Ru Paré,ruimte,alternatief,https://www.rupare.nl,yes,200,https://rupare.nl/events/?ical=1,0,https://rupare.nl/feed/,,,ical,high,
ruigoord,Ruigoord,ruimte,fringe,https://ruigoord.nl,yes,200,https://ruigoord.nl/programma/?ical=1,0,https://ruigoord.nl/feed/,,,ical,high,
the-movies,The Movies,film,mainstream,https://themovies.nl,yes,200,,7,,,,jsonld,high,
w139,W139,galerie,underground,https://w139.nl,yes,200,,14,,,/events,jsonld,high,
cinetol,Cinetol,film,alternatief,https://www.cinetol.nl,yes,200,,0,,stager,,stager,medium,
galerie-fons-welters,Galerie Fons Welters,galerie,alternatief,https://fonswelters.nl,yes,200,,1,https://fonswelters.nl/feed/,,/agenda,jsonld,medium,
garage-noord,Garage Noord,club,alternatief,https://garagenoord.com,yes,200,,0,,ra,,ra,medium,
huis-te-vraag,Huis te Vraag,ruimte,fringe,https://www.huistevraag.nl,yes,200,,1,https://www.huistevraag.nl/feed/,,/agenda,jsonld,medium,
if-i-cant-dance,If I Can't Dance,galerie,underground,https://www.ificantdance.org,yes,200,,0,,eventbrite|stager,,stager,medium,
mediamatic,Mediamatic,ruimte,alternatief,https://www.mediamatic.net,yes,200,,0,,stager,,stager,medium,
radion,Radion,club,alternatief,https://radion.amsterdam,yes,200,,0,,stager,,stager,medium,
splendor,Splendor,podium,alternatief,https://www.splendoramsterdam.com,yes,200,,0,,stager,,stager,medium,
a-lab,A Lab,ruimte,alternatief,https://www.a-lab.nl,yes,200,,0,,eventbrite,,scrape-html-or-newsletter,low,
adm-noord-het-groene-veld,ADM Noord - Het Groene Veld,ruimte,fringe,https://www.hetgroeneveld.amsterdam,yes,200,,0,,,,scrape-html-or-newsletter,low,
akinci,AKINCI,galerie,alternatief,https://akinci.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
amsterdam-museum,Amsterdam Museum,museum,mainstream,https://www.amsterdammuseum.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
andriesse-eyck-galerie,Andriesse Eyck Galerie,galerie,alternatief,https://andriesse-eyck.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
anne-frank-huis,Anne Frank Huis,museum,mainstream,https://www.annefrank.org,yes,200,,0,,,,scrape-html-or-newsletter,low,
annet-gelink-gallery,Annet Gelink Gallery,galerie,mainstream,https://annetgelink.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
arti-et-amicitiae,Arti et Amicitiae,galerie,underground,https://arti.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
astarotheatro,Astarotheatro,podium,alternatief,https://astarotheatro.com,yes,200,,0,https://astarotheatro.com/feed/,,,rss,low,
atelierwg-foundation,AtelierWG Foundation,ruimte,underground,https://puntwg.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
athenaeum-boekhandel,Athenaeum Boekhandel,boekhandel-cafe,mainstream,https://www.athenaeum.nl,no,403,,0,,,,unreachable,low,status 403
bijlmer-parktheater,Bijlmer Parktheater,podium,mainstream,https://bijlmerparktheater.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
bimhuis,Bimhuis,podium,mainstream,https://www.bimhuis.nl,yes,200,,0,,active-tickets,,ticketing:active-tickets,low,
bitterzoet,Bitterzoet,podium,alternatief,https://www.bitterzoet.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
borzo-gallery,Borzo Gallery,galerie,alternatief,https://borzo.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
bourbon-street,Bourbon Street,podium,alternatief,https://www.bourbonstreet.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
bradwolff-partners,Bradwolff & Partners,galerie,underground,https://bradwolffprojects.com,no,,,0,,,,unreachable,low,fetch failed
bradwolff-projects,Bradwolff Projects,galerie,underground,https://bradwolffprojects.com,no,,,0,,,,unreachable,low,fetch failed
bret,BRET,club,alternatief,https://bret.amsterdam,no,,,0,,,,unreachable,low,fetch failed
buro-stedelijk,Buro Stedelijk,galerie,underground,https://www.stedelijk.nl/nl/programma/buro-stedelijk,no,404,,0,,,,unreachable,low,status 404
buurtwerkplaats-noorderhof,Buurtwerkplaats Noorderhof,ruimte,underground,https://www.buurtwerkplaatsnoorderhof.nl,yes,200,,0,https://buurtwerkplaatsnoorderhof.nl/rss,,,rss,low,
casablanca-variete,Casablanca Variete,podium,alternatief,https://www.casablanca-variete.nl,no,,,0,,,,unreachable,low,fetch failed
cavia,Cavia,film,underground,https://filmhuiscavia.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
cbk-zuidoost,CBK Zuidoost,galerie,alternatief,https://cbkzuidoost.nl,yes,200,,0,,eventbrite,,scrape-html-or-newsletter,low,
compagnietheater,Compagnietheater,podium,mainstream,https://www.compagnietheater.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-appel,De Appel,galerie,underground,https://deappel.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-balie,De Balie,ruimte,mainstream,https://debalie.nl,yes,200,,0,https://debalie.nl/feed/,,,rss,low,
de-brakke-grond,De Brakke Grond,ruimte,mainstream,https://brakkegrond.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-ceuvel,De Ceuvel,ruimte,alternatief,https://deceuvel.nl,yes,200,,0,https://deceuvel.nl/nl/feed/,,,rss,low,
de-culturele-stelling-van-amsterdam,De Culturele Stelling van Amsterdam,ruimte,alternatief,https://culturelestelling.amsterdam,yes,200,,0,https://culturelestelling.amsterdam/feed/,,,rss,low,
de-fabriek,De Fabriek,ruimte,alternatief,https://www.ostade233.nl,yes,200,,0,https://ostade233.nl/index.php/feed/,,,rss,low,
de-hoop,De Hoop,ruimte,fringe,https://www.maakdehoop.org,yes,200,,0,,eventbrite,,scrape-html-or-newsletter,low,
de-krakeling,De Krakeling,podium,mainstream,https://krakeling.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-nieuwe-anita,De Nieuwe Anita,podium,alternatief,https://denieuweanita.nl,yes,200,,0,https://denieuweanita.nl/feed/,,,rss,low,
de-omleiding,De Omleiding,ruimte,fringe,https://deomleiding.info,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-roze-tanker,De (Roze) Tanker,podium,underground,https://www.detanker.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-ruimte,De Ruimte,podium,alternatief,https://cafederuimte.nl,yes,200,,0,https://www.cafederuimte.nl/feed/,,,rss,low,
de-sloot,De Sloot,ruimte,alternatief,https://www.desloot.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
de-uitkijk,De Uitkijk,film,mainstream,https://uitkijk.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
doka,Doka,club,alternatief,https://www.volkshotel.nl/doka,yes,200,,0,https://www.volkshotel.nl/feed/,,,rss,low,
ellen-de-bruijne-projects,Ellen de Bruijne Projects,galerie,underground,https://edbprojects.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
enari-gallery,Enari Gallery,galerie,alternatief,https://enarigallery.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
eye-filmmuseum,Eye Filmmuseum,film,mainstream,https://www.eyefilm.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
fc-hyena,FC Hyena,film,alternatief,https://fchyena.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
foam,FOAM,museum,mainstream,https://www.foam.org,no,429,,0,,,,unreachable,low,status 429
fort-van-sjakoo,Fort van Sjakoo,boekhandel-cafe,underground,https://sjakoo.nl,yes,200,,0,https://sjakoo.nl/feed/,,,rss,low,
framer-framed,Framer Framed,galerie,alternatief,https://framerframed.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
framer-framed-noord,Framer Framed Noord,galerie,underground,https://framerframed.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
frascati,Frascati,podium,mainstream,https://www.theaterfrascati.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-bart,Galerie Bart,galerie,alternatief,https://galeriebart.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-caroline-obreen,Galerie Caroline O'Breen,galerie,alternatief,https://carolineobreen.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-de-schans,Galerie de Schans,galerie,alternatief,https://galeriedeschans.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-dudokdegroot,galerie dudokdegroot,galerie,alternatief,https://www.dudokdegroot.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-fleur-wouter,Galerie Fleur & Wouter,galerie,alternatief,https://galeriefleurenwouter.nl,no,,,0,,,,unreachable,low,fetch failed
galerie-fontana,Galerie Fontana,galerie,alternatief,https://galeriefontana.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-martin-van-zomeren,Galerie Martin van Zomeren,galerie,alternatief,https://gmvz.com,no,,,0,,,,unreachable,low,fetch failed
galerie-onrust,Galerie Onrust,galerie,alternatief,https://www.galerieonrust.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
galerie-ron-mandos,Galerie Ron Mandos,galerie,mainstream,https://ronmandos.nl,yes,200,,0,https://ronmandos.nl/feed/,eventbrite,,scrape-html-or-newsletter,low,
gallery-van-fanny-freytag,Gallery van Fanny Freytag,galerie,alternatief,https://fannyfreytag.nl,no,,,0,,,,unreachable,low,fetch failed
gomulan-gallery,GoMulan Gallery,galerie,underground,https://gomulangallery.com,no,,,0,,,,unreachable,low,fetch failed
grimm,GRIMM,galerie,mainstream,https://grimmgallery.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
hama-gallery,Hama Gallery,galerie,underground,https://hamagallery.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
helicopter,Helicopter,galerie,alternatief,https://helicopteramsterdam.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
het-concertgebouw,Het Concertgebouw,podium,mainstream,https://www.concertgebouw.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
het-veem,Het Veem House for Performance,podium,mainstream,https://veem.house,yes,200,,0,,,,scrape-html-or-newsletter,low,
huis-marseille,Huis Marseille,museum,mainstream,https://huismarseille.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
iso,ISO,galerie,underground,https://isoamsterdam.com,no,,,0,,,,unreachable,low,fetch failed
ita,Internationaal Theater Amsterdam,podium,mainstream,https://ita.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
jazz-cafe-alto,Jazz Café Alto,podium,alternatief,https://jazz-cafe-alto.nl,yes,200,,0,https://www.jazz-cafe-alto.nl/feed/,,,rss,low,
josilda-da-conceicao,Josilda da Conceição Gallery,galerie,underground,https://josildadaconceicao.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
kanarie-club,Kanarie Club,boekhandel-cafe,alternatief,https://kanarieclub.nl,yes,200,,0,https://kanarieclub.nl/feed/,,,rss,low,
kaskantine,KasKantine,ruimte,fringe,https://kaskantine.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
kersgallery,Kersgallery,galerie,alternatief,https://kersgallery.com,yes,200,,0,https://www.kersgallery.com/feed/,,,rss,low,
kostgewonnen,Kostgewonnen,ruimte,alternatief,https://kostgewonnen.nl,yes,200,,0,https://kostgewonnen.nl/?format=feed&amp;type=rss,,,rss,low,
kunstverein-amsterdam,Kunstverein Amsterdam,galerie,underground,https://www.kunstverein.nl,yes,200,,0,,eventbrite,/events,scrape-html-or-newsletter,low,
lab111,Lab111,film,mainstream,https://lab111.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
langart,LANGArt,galerie,alternatief,https://langart.nl,yes,200,,0,https://langgallery.com/feed/,,,rss,low,
lima,LIMA,ruimte,alternatief,https://www.li-ma.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
loods-6,Loods 6,ruimte,alternatief,https://loods6.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
lumen-travo,Lumen Travo,galerie,alternatief,https://www.lumentravo.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
m-simons,m.simons,galerie,underground,https://msimonsgallery.com,no,,,0,,,,unreachable,low,fetch failed
made-van-krimpen,Madé van Krimpen Gallery,galerie,underground,https://madevankrimpen.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
marwan,Marwan,galerie,underground,https://marwan-projects.com,no,,,0,,,,unreachable,low,fetch failed
melkweg,Melkweg,podium,mainstream,https://www.melkweg.nl,yes,200,,0,,ticketmaster,,ticketing:ticketmaster,low,
mike-s-badhuistheater,Mike's Badhuistheater,podium,alternatief,https://badhuistheater.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
muziekgebouw-aan-het-ij,Muziekgebouw aan 't IJ,podium,mainstream,https://www.muziekgebouw.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
nachbar,nachbar,club,alternatief,https://nachbar.amsterdam,no,,,0,,,,unreachable,low,fetch failed
ndsm-loods,NDSM Loods,podium,alternatief,https://ndsmloods.nl,yes,200,,0,https://www.ndsmloods.nl/feed/,,,rss,low,
nieuwland,NieuwLand,ruimte,underground,https://nieuwland.cc,yes,200,,0,https://nieuwland.cc/feed/,,,rss,low,
no-limits-art-castle,No Limits! Art Castle,galerie,underground,https://nolimitsartcastle.com,no,,,0,,,,unreachable,low,fetch failed
no-mans-art-gallery,No Man's Art Gallery,galerie,alternatief,https://nomansart.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
noon-coffee-culture,Noon coffee & culture,boekhandel-cafe,alternatief,https://nooncoffeeculture.nl,yes,200,,0,,eventbrite,,scrape-html-or-newsletter,low,
nxt-museum,Nxt Museum,museum,mainstream,https://nxtmuseum.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
occii,OCCII,podium,underground,https://www.occii.org,yes,200,,0,https://occii.org/feed/,,,rss,low,
oscam,OSCAM,galerie,alternatief,https://oscam.nl,yes,200,,0,https://www.oscam.nl/feed/,,,rss,low,
ot301,OT301,ruimte,underground,https://www.ot301.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
oude-kerk,Oude Kerk,museum,mainstream,https://oudekerk.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
pakhuis-de-zwijger,Pakhuis de Zwijger,ruimte,mainstream,https://dezwijger.nl,yes,200,,0,,eventbrite,/agenda,scrape-html-or-newsletter,low,
pakhuis-wilhelmina,Pakhuis Wilhelmina,podium,alternatief,https://pakhuiswilhelmina.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
paktamsterdam,P/////AKT,galerie,underground,https://www.paktamsterdam.nl,no,,,0,,,,unreachable,low,fetch failed
paradiso,Paradiso,podium,mainstream,https://www.paradiso.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
parknest,Parknest,ruimte,fringe,https://www.parknest.nl,yes,200,,0,https://parknest.nl/feed/,,,rss,low,
perdu,Perdu,podium,underground,https://perdu.nl,yes,200,,0,,ticketkantoor,/agenda,ticketing:ticketkantoor,low,
plein-theater,Plein Theater,podium,alternatief,https://plein-theater.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
podium-mozaiek,Podium Mozaiek,podium,alternatief,https://www.podiummozaiek.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
projectspace-38-40,Projectspace 38/40,galerie,underground,https://projectspace3840.nl,no,,,0,,,,unreachable,low,fetch failed
puntwg,puntWG,galerie,underground,https://puntwg.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
q-factory,Q-Factory,podium,alternatief,https://www.q-factory.nl,no,,,0,,,,unreachable,low,fetch failed
radio-radio,Radio Radio,club,alternatief,https://radioradio.radio,yes,200,,0,,eventix,,scrape-html-or-newsletter,low,
rialto,Rialto,film,mainstream,https://www.rialtofilm.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
rijksakademie,Rijksakademie van beeldende kunsten,ruimte,underground,https://www.rijksakademie.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
rijkshemelvaartdienst,RijksHemelVaartDienst,ruimte,fringe,https://rijkshemelvaart.com,no,,,0,,,,unreachable,low,fetch failed
rijksmuseum,Rijksmuseum,museum,mainstream,https://www.rijksmuseum.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
rozenstraat,ROZENSTRAAT,galerie,underground,https://www.rozenstraat.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
rutger-brandt-gallery,Rutger Brandt Gallery,galerie,alternatief,https://rutgerbrandtgallery.com,no,,,0,,,,unreachable,low,fetch failed
salon-de-ijzerstaven,Salon de IJzerstaven,podium,underground,https://www.ijzerstaven.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
sexyland-world,SEXYLAND World,ruimte,alternatief,https://sexylandworld.com,no,,,0,,,,unreachable,low,fetch failed
shelter,Shelter,club,mainstream,https://shelteramsterdam.nl,yes,200,,0,https://www.shelteramsterdam.nl/feed/,eventix,,scrape-html-or-newsletter,low,
slewe-gallery,Slewe Gallery,galerie,alternatief,https://slewe.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
space-for-dance-art,Space for Dance Art,podium,alternatief,https://spacefordanceart.nl,yes,200,,0,https://spacefordanceart.nl/feed/,eventbrite,,scrape-html-or-newsletter,low,
spui25,SPUI25,ruimte,mainstream,https://spui25.nl,no,403,,0,,,,unreachable,low,status 403
stedelijk-museum,Stedelijk Museum,museum,mainstream,https://www.stedelijk.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
steelhenge,Steelhenge,ruimte,fringe,https://www.steelhenge.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
stigter-van-doesburg,Stigter Van Doesburg,galerie,mainstream,https://stigtervandoesburg.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
studio-k,Studio/K,film,alternatief,https://www.studio-k.nu,yes,200,,0,,,,scrape-html-or-newsletter,low,
teatro-munganga,Teatro Munganga,podium,alternatief,https://munganga.nl,yes,200,,0,https://munganga.nl/feed,,,rss,low,
tegenboschvanvreden,tegenboschvanvreden,galerie,underground,https://tegenboschvanvreden.com,yes,200,,0,https://www.tegenboschvanvreden.com/feed/,,,rss,low,
thuishaven,Thuishaven,club,mainstream,https://thuishaven.nl,yes,200,,0,https://thuishaven.nl/feed/,,,rss,low,
tilla-tec,Tilla Tec,club,alternatief,https://tillatec.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
tolhuistuin,Tolhuistuin,ruimte,mainstream,https://tolhuistuin.nl,yes,200,,0,,paylogic|eventbrite|ticketkantoor,/agenda,scrape-html-or-newsletter,low,
torch-gallery,TORCH Gallery,galerie,underground,https://torchgallery.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
treehouse-ndsm,Treehouse NDSM,ruimte,alternatief,https://www.treehousendsm.com,yes,200,,0,,,,scrape-html-or-newsletter,low,
upstream-gallery,Upstream Gallery,galerie,alternatief,https://upstreamgallery.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
van-gogh-museum,Van Gogh Museum,museum,mainstream,https://www.vangoghmuseum.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
verzetsmuseum,Verzetsmuseum,museum,mainstream,https://verzetsmuseum.org,yes,200,,0,,,,scrape-html-or-newsletter,low,
voedselpark-amsterdam,Voedselpark Amsterdam,ruimte,fringe,https://voedselparkamsterdam.nl,yes,200,,0,https://voedselparkamsterdam.nl/feed/,,,rss,low,
volta,Volta,podium,alternatief,https://voltaamsterdam.nl,no,,,0,,,,unreachable,low,fetch failed
vondelbunker,Vondelbunker,ruimte,underground,https://vondelbunker.nl,yes,200,,0,,,,scrape-html-or-newsletter,low,
warehouse-elementenstraat,Warehouse Elementenstraat,club,mainstream,,no,,,0,,,,unreachable,low,no website
wereldmuseum-amsterdam,Wereldmuseum Amsterdam,museum,mainstream,https://www.wereldmuseum.nl/amsterdam,no,404,,0,,,,unreachable,low,status 404
woonruimte-cooperatief,[ woonruimte coöperatief ],ruimte,underground,,no,,,0,,,,unreachable,low,no website
workship-op-de-ceuvel,Workship op de Ceuvel,ruimte,underground,https://workship.nu,no,,,0,,,,unreachable,low,fetch failed
zaal-100,Zaal 100,podium,underground,https://zaal100.nl,yes,200,,0,https://zaal100.nl/feed/,,,rss,low,
zid-theater,ZID Theater,podium,alternatief,https://www.zidtheater.nl,yes,200,,0,https://zidtheater.nl/feed/,paylogic,/agenda,scrape-html-or-newsletter,low,
zone-2-source,Zone 2 Source,galerie,fringe,https://zone2source.net,yes,200,,0,,,,scrape-html-or-newsletter,low,
